url,title,price_raw,price_mnt,location,district,khoroo,date_posted,area_m2,rooms,floor,total_floors,year_built,balcony,garage,window_type,window_count,door_type,floor_material,payment_terms,elevator,construction_status
https://www.unegui.mn/adv/10124740_sbd-1r-khoroo-khotyn-tovd-khos-zhurzh-khotkhond-146-3-m2-6-oroo-oron-suuts-khudaldana/,Сбд хотын төвд зам тээврийн яамны ард хос жүрж хотхонд 146.3м2 6 өрөө орон сууц,820 сая ₮ Үнэ тохирно,820000000.0,"Сүхбаатар, Сүхбаатар, Хороо 1",Сүхбаатар,Хороо 1,Нийтэлсэн: 2026-05-10 11:40,146.3,6,9,9,2005,1 тагттай,Байхгүй,Вакум,6,Төмөр,Паркет,Бартераар зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10391747_sbd-11-r-khoroollyn-khoino-zuu-residence-31-28mkv-1-oroo/,"Сбд, 11-р хорооллын хойно zuu residence 31.28мкв 1 өрөө",137 сая ₮,137000000.0,"Сүхбаатар, Дөлгөөн нуур",Сүхбаатар,Дөлгөөн нуур,Нийтэлсэн: Өчигдөр 23:30,31.28,1,2,16,2025,1 тагттай,Байхгүй,Вакум,2,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10392376_10-r-khoroolol-ub-palasyn-khoino-dako-giin-bairand-35-mkv-1-oroo-oron-suuts/,"10-р хороолол, уб паласын хойно дако-гийн байранд 35 мкв, 1 өрөө орон сууц",150 сая ₮,150000000.0,"Баянгол, 25-р эмийн сан",Баянгол,25-р эмийн сан,Нийтэлсэн: Өчигдөр 23:17,35.0,1,9,12,2014,Тагтгүй,Байхгүй,Вакум,1,Төмөр,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10353448_x-apartment-khotkhond-dupleks-khudaldana/,X apartment хотхонд дуплeкс 5 өрөө 157m2,471 сая ₮ Үнэ тохирно,471000000.0,"Баянзүрх, Офицер",Баянзүрх,Офицер,Нийтэлсэн: Өчигдөр 23:05,157.0,5,14,15,2018,1 тагттай,Байгаа,Вакум,5,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10389910_2-oroo-bair-zarna-99077012/,Сүхбаатар 9-р хороо гал тогооны тавилгатай 2 өрөө 48.33мкв байр,220 сая ₮,220000000.0,"Сүхбаатар, Сүхбаатар, Хороо 9",Сүхбаатар,Хороо 9,Нийтэлсэн: Өчигдөр 22:31,48.33,2,16,10,2024,1 тагттай,Байхгүй,Вакум,2,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10392289_19-khoroolol-1-oroo-khudaldana/,Худ саруул өргөө хотхонд 1 өрөө 24.5мкв байр,139.65 сая ₮ Үнэ тохирно,139650000.0,"Хан-Уул, Хан-Уул, Хороо 20",Хан-Уул,Хороо 20,Нийтэлсэн: Өчигдөр 22:14,24.5,1,2,10,2014,1 тагттай,Байхгүй,Вакум,2,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10392156_bgd-imartyn-urd-bairlakh-neverland-town-d-103-2mkv-4-oroo-bair-khudaldana/,Бгд имартын урд байрлах neverland town-д 4 өрөө 103.2мкв байр,516 сая ₮,516000000.0,"Баянгол, Баянгол, Хороо 4",Баянгол,Хороо 4,Нийтэлсэн: Өчигдөр 21:28,103.2,4,15,16,2024,1 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10367574_bzd-ofitser-khoroolol-54-21m2-2oroo-bair/,Бзд офицер хороолол 54.21м2 2 өрөө,204 сая ₮,204000000.0,"Баянзүрх, Баянзүрх дүүрэг",Баянзүрх,Баянзүрх дүүрэг,Нийтэлсэн: Өчигдөр 21:09,54.21,2,11,16,2026,1 тагттай,Байхгүй,Вакум,2,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10360320_sbd-dolgoon-nuur-tushig-bagana-khotkhond-2oroo-43-5m2-bair/,Сбд дөлгөөн нуур түшиг багана хотхонд 2 өрөө 43.5м2 байр,195 сая ₮,195000000.0,"Сүхбаатар, Дөлгөөн нуур",Сүхбаатар,Дөлгөөн нуур,Нийтэлсэн: Өчигдөр 21:09,43.5,2,5,15,2023,1 тагттай,Байхгүй,Вакум,2,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10284217_skhd-chingis-soose-iin-zamyn-urd-tald-gal-togoo-tusdaa-3oroo-khuuchnaar-40m2-bair/,Схд содон хорооллын баруун талд гал тогоо тусдаа 3 өрөө 75м2 байр,162 сая ₮,162000000.0,"Сонгинохайрхан, Сонгинохайрхан, Хороо 19",Сонгинохайрхан,Хороо 19,Нийтэлсэн: Өчигдөр 21:08,75.0,3,9,9,1999,2 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
