price_mnt,log_price,area_m2,rooms,floor,total_floors,floor_ratio,building_age,year_built,has_balcony,balcony_count,has_garage,has_elevator,is_finished,district,district_grouped,window_type,door_type,floor_material,price_per_m2
759000000.0,20.447512335359903,170.0,4,7.0,7.0,1.0,0,2025,1,2,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,4464705.882352941
305000000.0,19.535822334571687,65.1,2,4.0,10.0,0.4,14,2011,1,1,1,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4685099.846390169
305400000.0,19.537132950748806,78.0,3,12.0,16.0,0.75,0,2026,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3915384.6153846155
1710000000.0,21.25975920746098,200.0,5,3.0,12.0,0.25,2,2023,1,1,1,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,8550000.0
130000000.0,18.683045008419857,48.0,2,2.0,6.0,0.3333333333333333,10,2015,1,1,0,0,1,Налайх,Бусад,Вакум,Бүргэд,Паркет,2708333.3333333335
678000000.0,20.33465784590467,141.44,5,10.0,16.0,0.625,8,2017,1,1,1,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4793552.036199095
205000000.0,19.138520537102682,52.75,2,16.0,17.0,0.9411764705882353,0,2026,1,1,1,0,1,Баянгол,Баянгол,Вакум,Бүргэд,Паркет,3886255.924170616
78000000.0,18.172219384653864,30.0,1,2.0,6.0,0.3333333333333333,9,2016,1,1,0,0,1,Сонгинохайрхан,Сонгинохайрхан,Вакум,Бүргэд,Паркет,2600000.0
250000000.0,19.33697147582652,78.53,3,2.0,9.0,0.2222222222222222,11,2014,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3183496.752833312
375000000.0,19.742436583934683,105.0,5,1.0,9.0,0.1111111111111111,33,1992,1,0,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3571428.5714285714
890000000.0,20.60673202069046,96.74,3,4.0,22.0,0.18181818181818182,2,2023,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Төмөр,Паркет,9199917.30411412
270000000.0,19.41393251696265,44.0,4,5.0,6.0,0.8333333333333334,19,2006,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,6136363.636363637
190000000.0,19.06253463012476,38.0,1,1.0,10.0,0.1,6,2019,1,0,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,5000000.0
420000000.0,19.855765269241687,76.0,4,1.0,12.0,0.08333333333333333,6,2019,1,0,0,0,1,Баянзүрх,Баянзүрх,Вакум,Төмөр,Паркет,5526315.7894736845
130000000.0,18.683045008419857,36.37,1,12.0,12.0,1.0,13,2012,1,0,0,0,1,Сонгинохайрхан,Сонгинохайрхан,Вакум,Бүргэд,Паркет,3574374.4844652186
